rate, elasped time (s), max val, avg val
0.002000, 15, 354, 304.90
0.002000, 15, 354, 304.64
0.002000, 15, 354, 304.84
0.002000, 15, 354, 304.94
0.002000, 15, 354, 304.88
0.002000, 15, 354, 305.53
0.002000, 15, 354, 304.89
0.002000, 15, 354, 304.95
0.002000, 15, 354, 304.83
0.002000, 15, 354, 305.70
0.002000, 15, 354, 305.18
0.002000, 15, 354, 305.21
0.002000, 15, 354, 304.71
0.002000, 15, 354, 304.25
0.002000, 15, 354, 304.75
0.002000, 15, 354, 304.70
0.002000, 15, 354, 304.78
0.002000, 15, 354, 305.04
0.002000, 15, 354, 304.72
0.002000, 15, 354, 305.05
0.002000, 15, 354, 306.02
0.002000, 15, 354, 305.31
0.002000, 15, 354, 304.46
0.002000, 15, 354, 305.08
0.002000, 15, 354, 304.52
0.002000, 15, 354, 305.04
0.002000, 15, 354, 304.49
0.002000, 15, 354, 303.49
0.002000, 15, 354, 304.20
0.002000, 16, 354, 304.52
0.002000, 16, 354, 304.40
0.002000, 16, 354, 304.73
0.002000, 16, 354, 304.59
0.002000, 16, 354, 304.40
0.002000, 16, 354, 304.54
0.002000, 16, 354, 303.60
0.002000, 16, 354, 304.78
0.002000, 16, 354, 304.86
0.002000, 16, 354, 304.90
0.002000, 16, 354, 303.89
0.002000, 16, 354, 304.32
0.002000, 16, 354, 304.64
0.002000, 16, 354, 305.26
0.002000, 16, 354, 304.61
0.002000, 16, 354, 304.57
0.002000, 16, 354, 303.25
0.002000, 16, 354, 304.72
0.002000, 16, 354, 304.15
0.002000, 16, 354, 304.94
0.002000, 16, 354, 305.62
0.002000, 16, 354, 304.52
0.002000, 16, 354, 305.02
0.002000, 16, 354, 304.36
0.002000, 16, 354, 304.78
0.002000, 16, 354, 304.48
0.002000, 16, 354, 304.90
0.002000, 16, 354, 305.06
0.002000, 16, 354, 305.38
0.002000, 16, 354, 306.01
0.002000, 16, 354, 305.46
0.002000, 16, 354, 305.26
0.002000, 16, 354, 305.60
0.002000, 16, 354, 305.82
0.002000, 16, 354, 305.05
0.002000, 16, 354, 305.27
0.002000, 16, 354, 305.75
0.002000, 16, 354, 304.92
0.002000, 16, 354, 305.42
0.002000, 16, 354, 305.39
0.002000, 16, 354, 304.92
0.002000, 16, 354, 304.00
0.002000, 16, 354, 304.85
0.002000, 16, 354, 305.32
0.002000, 16, 354, 305.24
0.002000, 17, 354, 305.75
0.002000, 17, 354, 305.73
0.002000, 17, 354, 305.18
0.002000, 17, 354, 304.85
0.002000, 17, 354, 304.72
0.003000, 17, 354, 304.93
0.003000, 17, 354, 305.97
0.003000, 17, 354, 305.05
0.003000, 17, 354, 304.82
0.003000, 17, 354, 305.27
0.003000, 17, 354, 305.54
0.003000, 17, 354, 305.11
0.003000, 17, 354, 304.25
0.003000, 17, 354, 304.11
0.003000, 17, 354, 304.86
0.003000, 17, 354, 304.96
0.003000, 17, 354, 304.90
0.003000, 17, 354, 304.26
0.003000, 17, 354, 304.92
0.003000, 17, 354, 305.60
0.003000, 17, 354, 305.69
0.003000, 17, 354, 304.94
0.003000, 17, 354, 305.21
0.003000, 17, 354, 305.96
0.001000, 17, 359, 304.88
0.001000, 17, 359, 305.29
0.001000, 17, 359, 305.57
0.001000, 17, 359, 305.59
0.001000, 17, 359, 306.56
0.001000, 17, 359, 304.85
0.001000, 17, 359, 305.27
0.001000, 17, 359, 304.79
0.001000, 17, 359, 305.19
0.001000, 17, 359, 305.53
0.001000, 17, 359, 305.73
0.001000, 17, 359, 305.64
0.001000, 17, 359, 305.34
0.001000, 17, 359, 303.93
0.001000, 17, 359, 305.04
0.001000, 17, 359, 305.26
0.001000, 17, 359, 305.58
0.001000, 17, 359, 305.68
0.001000, 17, 359, 305.82
0.001000, 17, 359, 306.12
0.001000, 17, 359, 305.02
0.001000, 18, 359, 305.30
0.001000, 18, 359, 304.87
0.001000, 18, 359, 305.41
0.001000, 18, 359, 304.48
0.001000, 18, 359, 304.41
0.001000, 18, 359, 303.19
0.001000, 18, 359, 303.88
0.001000, 18, 359, 304.51
0.001000, 18, 359, 305.22
0.001000, 18, 359, 304.89
0.001000, 18, 359, 305.34
0.001000, 18, 359, 305.50
0.001000, 18, 359, 305.90
0.001000, 18, 359, 305.55
0.001000, 18, 359, 305.73
0.001000, 18, 359, 305.06
0.001000, 18, 359, 305.31
0.001000, 18, 359, 305.03
0.001000, 18, 359, 304.71
0.001000, 18, 359, 305.61
0.001000, 18, 359, 305.53
0.001000, 18, 359, 306.16
0.001000, 18, 359, 305.43
0.001000, 18, 359, 305.25
0.001000, 18, 359, 305.19
0.001000, 18, 359, 305.14
0.001000, 18, 359, 305.80
0.001000, 18, 359, 305.73
0.001000, 18, 359, 304.78
0.001000, 18, 359, 305.88
0.001000, 18, 359, 305.60
0.001000, 18, 359, 304.97
0.001000, 18, 359, 305.37
0.001000, 18, 359, 304.71
0.001000, 18, 359, 305.30
0.001000, 18, 359, 305.28
0.001000, 18, 359, 305.27
0.001000, 18, 359, 305.90
0.001000, 18, 359, 305.20
0.001000, 18, 359, 305.57
0.001000, 18, 359, 305.05
0.001000, 18, 359, 305.52
0.001000, 18, 359, 304.39
0.001000, 18, 359, 304.93
0.001000, 19, 359, 304.79
0.001000, 19, 359, 305.76
0.001000, 19, 359, 305.18
0.001000, 19, 359, 304.78
0.001000, 19, 359, 305.63
0.001000, 19, 359, 305.18
0.001000, 19, 359, 304.68
0.001000, 19, 359, 305.12
0.001000, 19, 359, 305.50
0.001000, 19, 360, 305.07
0.001000, 19, 360, 304.85
0.001000, 19, 360, 304.52
0.001000, 19, 360, 304.85
0.001000, 19, 360, 305.45
0.001000, 19, 360, 304.83
0.001000, 19, 360, 306.04
0.001000, 19, 360, 305.47
0.001000, 19, 360, 305.72
0.001000, 19, 360, 305.56
0.001000, 19, 360, 306.14
0.001000, 19, 360, 305.47
0.001000, 19, 360, 305.54
0.001000, 19, 360, 306.40
0.001000, 19, 360, 306.09
0.001000, 19, 360, 305.73
